book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
20;1;Geeske;2;1;3;1;3;4;2;huisvrouw
20;2;Johannes;1;1;3;1;3;5;2;visser
20;3;Trijntje;2;1;3;1;3;1;99;99
20;4;Geesje;2;1;3;1;3;1;99;99
20;5;Gezientje;2;1;3;1;3;3;2;hulp bakker
20;6;Fenne;2;1;3;1;3;4;2;huisvrouw
20;7;Jochem;1;1;3;1;3;1;99;visser
20;8;Aleid;2;1;3;1;3;2;2;huisvrouw
20;9;Jakob de Oude;1;1;3;1;3;6;2;vuurtorenwachter
20;10;Ada;2;1;3;1;3;3;99;99
20;11;Hattie;2;1;3;1;3;4;2;huisvrouw
20;12;Jorrit;1;1;3;1;3;4;2;99
20;13;Dirk;1;1;3;1;3;1;2;visser
20;14;Fennetje;2;1;99;1;3;1;99;99
21;1;Wolf;1;1;1;1;1;2;1;journalist
21;2;Broer;1;1;1;1;1;2;99;99
21;3;Omar;1;5;99;1;1;99;2;shoarmabakker/chauffeur
21;4;Donkerblauw;1;3;99;3;6;99;1;bankier
21;5;Arnau;1;3;99;3;6;99;99;99
21;6;Wood;1;5;99;5;8;99;1;kunstenaar
21;7;Cupcake;1;4;99;4;10;99;99;99
21;8;Bowie;1;1;99;1;1;99;99;barman
21;9;Cleopatra;1;99;99;99;10;99;1;werkloos
21;10;Sue;2;3;99;3;99;99;99;99
22;1;Herman;1;2;5;2;4;4;1;schrijver
22;2;Phoebe;2;2;99;2;4;4;1;modeontwerper
22;3;Ökki;1;5;8;2;4;99;1;eigenaar café
22;4;Gerry;1;99;99;2;4;99;1;schrijver
22;5;Jasmien;2;99;99;2;4;1;2;ober
22;6;Layla;2;2;99;2;4;1;2;werkloos
22;7;Clara;2;99;99;2;4;99;1;presentator
22;8;Elien;2;99;99;2;4;1;99;99
22;9;Erika;2;2;99;2;4;99;99;99
22;10;Femke;2;2;99;2;99;99;99;99
22;11;Helga;2;2;99;2;4;3;2;kamermeisje
22;12;Tammy;2;2;99;2;99;99;1;notarisklerk
22;13;Julie;2;2;99;2;4;1;1;student
22;14;Brigitta;2;2;99;2;99;5;99;miss België
22;15;Tina;2;2;99;2;99;2;1;adviseur
23;1;Guggenheimer;1;2;99;2;4;4;1;ondernemer
23;2;Ellen;2;2;99;2;4;4;99;99
23;3;Debbie;2;2;99;2;4;2;2;huishoudhulp
23;4;Jules;1;2;99;2;4;99;2;chauffeur
23;5;Emmeke;2;2;99;2;4;2;2;administratief medewerker
23;6;Ulrich;1;2;99;2;4;6;1;makelaar
23;7;Madeleine;2;2;99;2;4;5;2;keukenhulp
23;8;Bernard;1;2;99;2;99;99;1;chemicus
23;9;Wils;1;2;99;3;4;4;99;politieinspecteur
23;10;Saloped;1;5;99;2;4;99;99;bouwvakker
23;11;Gelaude;1;2;99;2;4;99;99;kleermaker
23;12;Mufti;2;5;99;2;4;1;99;modeontwerper
24;1;Gerrit;1;2;5;3;6;6;2;keisnijder
24;2;Lis;2;2;5;3;6;6;2;keisnijder
24;3;Susan;2;2;5;3;6;6;2;keisnijder
24;4;Robbert;1;2;5;3;6;6;2;keisnijder
24;5;Jules;1;2;4;2;4;1;99;scholier
24;6;Peter;1;2;4;2;4;1;99;scholier
24;7;Marthe;2;2;4;2;4;1;99;scholier
24;8;Anouk;2;2;4;2;4;1;99;scholier
24;9;Hans;1;99;99;3;6;99;1;uitvinder
24;10;Carlito;1;6;99;3;6;1;2;drugsdealer
24;11;Monika;2;99;99;3;6;6;2;bakker
24;12;Jean-Jacques;1;99;99;3;6;6;2;bloemist
24;13;Kang Sungmoo;1;6;99;6;12;6;1;architect
24;14;Delphine;2;99;99;99;99;1;1;journalist
24;15;Mustafa;1;5;99;3;6;6;1;hoogleraar
24;16;Daan;1;2;99;3;6;99;99;99
24;17;Frederik;1;99;99;99;99;1;1;student
24;18;Karel;1;99;99;2;4;99;1;ondernemer
24;19;Veerle;2;99;99;2;4;99;99;99
24;20;Frank;1;99;99;99;99;4;2;chauffeur
24;21;Ruth;2;2;4;99;99;1;1;student
24;22;Emile;1;99;99;99;99;99;1;dichter
25;1;Pjotr;1;99;99;1;99;99;99;99
25;2;Henkie;1;6;3;1;99;99;99;pooier
25;3;Marie;2;99;99;1;99;99;99;verpleger
25;4;Julia;2;4;99;1;99;99;1;ingenieur/prostituee
25;5;Valeria;2;4;99;1;99;99;1;ingenieur/prostituee
25;6;Mientje;2;99;99;1;99;1;99;scholier
26;1;Hilda;2;1;2;1;2;1;2;steward/secretaresse
26;2;Trix;2;1;3;1;2;1;2;steward
26;3;John;1;1;99;1;3;3;1;piloot
26;4;Viruly;1;1;99;1;99;2;1;piloot
26;5;Plesman;1;1;99;1;99;99;1;directeur
26;6;Jannet;2;1;3;6;99;2;1;kleermaker
26;7;Victor;1;1;99;6;99;2;99;plantage-eigenaar
26;8;Sonja;2;1;99;1;99;1;99;verzetsstrijder
26;9;Johann;1;3;99;1;3;99;99;ondernemer
27;1;Willem;1;1;3;1;3;2;99;99
27;2;Marleen;2;99;99;1;3;99;99;99
27;3;Moeder;2;99;99;1;3;99;99;99
27;4;Vader;1;99;99;1;3;5;99;99
27;5;Tim;1;1;3;6;99;99;1;reisleider/ondernemer
27;6;Michiel;1;99;99;1;3;99;99;99
27;7;Emine;2;99;99;1;3;1;99;administratief medewerker
27;8;Tanja;2;1;99;1;3;1;99;99
27;9;Luc;1;99;99;1;3;99;99;99
27;10;Suiker;2;6;99;6;99;99;99;reisleider/ondernemer
28;1;Ik;2;2;5;2;5;2;1;journalist
28;2;Seingever;1;2;5;2;5;6;1;machinetechnicus
28;3;Vader van de Seingever;1;2;5;2;5;5;2;stratenlegger
28;4;Vrouw van de Seingever;2;2;5;2;5;99;2;naaier 
28;5;Dokter;1;2;99;2;99;99;1;arts
28;6;Politieagente;2;2;99;2;99;99;1;agent
29;1;Balsam;1;5;9;1;8;2;1;ingenieur
29;2;Barna;2;5;8;1;8;2;99;verpleegkundige
29;3;Mariana;2;5;99;1;8;2;2;kok
29;4;Edison;1;5;99;1;8;99;1;tandarts
29;5;Nawal;2;5;99;5;8;1;99;99
29;6;Joesef;1;5;99;5;8;3;1;docent
29;7;Atto;2;5;99;5;8;3;1;arts
29;8;Meré;1;5;99;5;8;99;99;99
29;9;Doglas;1;5;99;3;6;1;99;winkelier
29;10;Riem;2;5;99;5;8;1;99;scholier
29;11;Adnan;1;5;99;5;8;3;2;concierge
29;12;Soeraia;2;5;99;5;8;2;99;99
29;13;Roza;2;5;99;5;8;1;99;huisvrouw
30;1;Fernand;1;3;99;2;5;6;1;docent
30;2;Albert;1;2;99;2;5;6;1;docent
30;3;Madeleine;2;2;99;2;99;3;1;verpleger
30;4;Céleste;2;2;99;2;99;4;99;99
30;5;Anaïs;2;2;99;2;99;1;99;99
30;6;Richard;1;2;99;2;99;6;1;beursmakelaar
30;7;Charles;1;2;99;2;99;1;99;scholier
