book_id,character_id,name,name_variant,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-met-de-mooiste-kont,
44,2,Het-Meisje-met-de-mooiste-heupen,zustertje in de Orde-van-de-konijntjes-met-de-mooie-kontjes,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Konijntje-met-de-bloedende-kont,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-met-de-mooie-buik,
44,2,Het-Meisje-met-de-mooiste-heupen,Het-Meisje-met-het-dode-kindje-in-haar-buik,
44,3,Oppergod David,Oppergod David,
44,3,Oppergod David,oppergod David,
44,3,Oppergod David,David,
44,4,M'n oude vriend 't dode dichtertje,M'n oude vriend 't dode dichtertje,
44,4,M'n oude vriend 't dode dichtertje,m'n oude vriend 't dode dichtertje,
44,5,moeder,moeder,
44,6,Het Rooibosvrouwtje,Het Rooibosvrouwtje,
44,6,Het Rooibosvrouwtje,het Rooibosvrouwtje,
45,1,Johan,Johan,
45,1,Johan,Johan Fretz,
45,1,Johan,Johannes Daniël Christophorus Fretz,
45,2,Arno,Arno,
45,2,Arno,Arno Hessels,
45,3,Virginia,Virginia,
45,3,Virginia,Virginia Brouwn,
45,4,Jan,Jan,
45,4,Jan,Jan Fretz,
45,5,Willem,Willem,
45,6,Elin,Elin,
45,7,Mila,Mila,
45,7,Mila,Mila Nadine van Assem,
45,8,Jack,Jack,
45,8,Jack,Jack Levi,
45,9,Sophie,Sophie,
45,10,Elsbeth,Elsbeth,
45,10,Elsbeth,Elsbeth Heersma,
45,11,Lena,Lena,
45,11,Lena,Magdalena Jany,
45,12,Rijnders,Rijnders,
45,13,Iliana,Iliana,
46,1,Walter,Walter,
46,1,Walter,Waltertje,
46,1,Walter,Süskind,
46,1,Walter,Walter Süskind,
46,2,Hanna,Hanna,
46,2,Hanna,Hanna Süskind,
46,3,Yvonne,Yvonne,
46,3,Yvonne,Yvonne Süskind,
46,4,Aus der Fünten,Aus der Fünten,
46,4,Aus der Fünten,Ferdinand aus der Fünten,
46,4,Aus der Fünten,Ferdinand,
46,4,Aus der Fünten,Ferdi,
46,5,Fanny,Fanny,
46,6,Roos,Roos,
46,6,Roos,Roosje,
46,7,Simon,Simon,
46,8,Helmut,Helmut,
46,9,Sylvie,Sylvie,
46,10,Lages,Lages,
46,10,Lages,Willi Paul Lages,
46,11,Piet,Piet,
46,11,Piet,Meerburg,
46,11,Piet,Piet Meerburg,
46,12,Sluzker,Sluzker,
46,13,Felix,Felix,
46,13,Felix,Felix Halverstadt,
46,14,Pimentel,Pimentel,
46,15,Gemmeker,Gemmeker,
46,16,Henneicke,Henneicke,
47,1,ik,ik,
47,1,ik,Ik,
47,2,jij,jij,
47,2,jij,Jij,
47,3,Muisje,Muisje,
48,1,Elisabeth,Elisabeth,
48,2,Coco,Coco,
48,3,Hans,Hans,
48,4,Wilbert,Wilbert,
48,5,Miriam,Miriam,
48,6,Martin,Martin,
48,7,Laura,Laura,
